topology,algorithm,rate,seed,blocking_probability,mean_bottleneck_fidelity,mean_max_utilization,mean_hops,mean_distance_km,mean_decision_latency_ms,requests,served,blocked
irregular12,ga_tcheby_proxy,2,15,0.1405,0.9673136796974984,0.560319260214,1.8888,47.9186,0.5,10000,8595,1405
irregular12,ga_tcheby_proxy,2,16,0.144,0.9675414378504673,0.559050709116,1.8855,47.7816,0.5,10000,8560,1440
irregular12,ga_tcheby_proxy,2,17,0.1402,0.9674190925796696,0.56329138922,1.9024,48.1938,0.5,10000,8598,1402
irregular12,ga_tcheby_proxy,2,18,0.1449,0.9673333254590107,0.561813417851,1.9092,48.4616,0.5,10000,8551,1449
irregular12,ga_tcheby_proxy,2,19,0.1376,0.9673617224025974,0.5682189019880001,1.923,48.858,0.5,10000,8624,1376
irregular12,ga_tcheby_proxy,2,20,0.1395,0.967550875305055,0.563647549841,1.8989,48.0412,0.5,10000,8605,1395
irregular12,ga_tcheby_proxy,2,21,0.141,0.9675240876600697,0.562749971852,1.903,48.1723,0.5,10000,8590,1410
irregular12,ga_tcheby_proxy,2,22,0.1413,0.9675860560149063,0.559798518252,1.8927,48.023,0.5,10000,8587,1413
irregular12,ga_tcheby_proxy,2,23,0.1391,0.96745721314903,0.56336336981,1.901,47.991,0.5,10000,8609,1391
irregular12,ga_tcheby_proxy,2,24,0.1383,0.9673551852152721,0.5646522993800001,1.9044,48.2234,0.5,10000,8617,1383
irregular12,ga_tcheby_proxy,2,25,0.139,0.9675521986062717,0.564153152194,1.8935,47.9633,0.5,10000,8610,1390
irregular12,ga_tcheby_proxy,2,26,0.1455,0.9674084903452311,0.55788332466,1.8916,47.9343,0.5,10000,8545,1455
irregular12,ga_tcheby_proxy,2,27,0.143,0.9674431849474914,0.561612621767,1.9044,48.2802,0.5,10000,8570,1430
irregular12,ga_tcheby_proxy,2,28,0.1421,0.9675763838442709,0.559797777416,1.8891,47.8652,0.5,10000,8579,1421
irregular12,ga_tcheby_proxy,2,29,0.1305,0.967518013225992,0.56623824314,1.9108,48.3907,0.5,10000,8695,1305
irregular12,ga_tcheby_proxy,2,30,0.1443,0.9674686747691948,0.557912662494,1.8809,47.7952,0.5,10000,8557,1443
irregular12,ga_tcheby_proxy,5,1,0.3067,0.9646128137891246,0.42632558854999997,1.5483,39.0242,0.5,10000,6933,3067
