x,exact,approx,abs_error,rel_error
2.52787361,0.079828586942,0.079835202564,6.615621460523e-06,8.287283683633e-05
2.53587321,0.079192537638,0.079194323644,1.786005565718e-06,2.255270027936e-05
2.54387281,0.078561556177,0.078568703746,7.147568927321e-06,9.098049065121e-05
2.55187241,0.077935602180,0.077943083848,7.481668639439e-06,9.599808598629e-05
2.55987201,0.077314635589,0.077317463951,2.828361965745e-06,3.658249106671e-05
2.56787161,0.076698616666,0.076707103075,8.486408902830e-06,1.106461794456e-04
2.57587121,0.076087505990,0.076096742199,9.236209032967e-06,1.213892992393e-04
2.58387081,0.075481264453,0.075486381323,5.116869737240e-06,6.778993137312e-05
2.59187041,0.074879853260,0.074876020447,3.832813198809e-06,5.118617400980e-05
2.59987001,0.074283233924,0.074280918593,2.315331205607e-06,3.116896079088e-05
2.60786961,0.073691368265,0.073701075761,9.707495739822e-06,1.317317885166e-04
2.61586921,0.073104218407,0.073105973907,1.755499660624e-06,2.401365747242e-05
2.62386881,0.072521746777,0.072510872053,1.087472351272e-05,1.499512076869e-04
2.63186841,0.071943916098,0.071946288243,2.372144668847e-06,3.297213715204e-05
2.63986801,0.071370689395,0.071381704433,1.101503807462e-05,1.543355986616e-04
2.64786761,0.070802029983,0.070801861601,1.683821557741e-07,2.378210848120e-06
2.65586721,0.070237901472,0.070237277790,6.236814716759e-07,8.879557313153e-06
2.66386681,0.069678267761,0.069687953002,9.685240934004e-06,1.389994505487e-04
2.67186641,0.069123093038,0.069138628214,1.553517633160e-05,2.247465448797e-04
2.67986601,0.068572341773,0.068574044404,1.702630643349e-06,2.482969954538e-05
2.68786561,0.068025978723,0.068024719615,1.259107593007e-06,1.850921687041e-05
2.69586521,0.067483968924,0.067490653849,6.684925547770e-06,9.905946040821e-05
2.70386481,0.066946277689,0.066956588083,1.031039351246e-05,1.540099594532e-04
2.71186441,0.066412870611,0.066422522316,9.651705282596e-06,1.453288375249e-04
2.71986401,0.065883713554,0.065888456550,4.742995679693e-06,7.199041195193e-05
2.72786361,0.065358772656,0.065369649805,1.087714944632e-05,1.664221802874e-04
2.73586321,0.064838014323,0.064850843061,1.282873772300e-05,1.978582758418e-04
2.74386281,0.064321405231,0.064332036316,1.063108588815e-05,1.652806845566e-04
2.75186241,0.063808912318,0.063813229572,4.317253793990e-06,6.765910336257e-05
2.75986201,0.063300502790,0.063309681849,9.179059778791e-06,1.450076914760e-04
2.76786161,0.062796144110,0.062806134127,9.990017075578e-06,1.590864728593e-04
